~,GENNAIO 2024,,
|,1,,
|,2,UMIDO,
|,3,SECCO,
|,4,CARTA,
|,5,UMIDO,
|,6,,
|,7,,
|,8,SECCO,
|,9,UMIDO,VERDE
|,10,PLASTICA,
|,11,VETRO,
|,12,UMIDO,
|,13,,
|,14,,
|,15,SECCO,
|,16,UMIDO,
|,17,,
|,18,CARTA,
|,19,UMIDO,
|,20,,
|,21,,
|,22,SECCO,
|,23,UMIDO,VERDE
|,24,PLASTICA,
|,25,VETRO,
|,26,UMIDO,
|,27,,
|,28,,
|,29,SECCO,
|,30,UMIDO,
|,31,,
=,,,
~,FEBBRAIO 2024,,
|,1,CARTA,
|,2,UMIDO,
|,3,,
|,4,,
|,5,SECCO,
|,6,UMIDO,VERDE
|,7,PLASTICA,
|,8,VETRO,
|,9,UMIDO,
|,10,,
|,11,,
|,12,SECCO,
|,13,UMIDO,
|,14,,
|,15,CARTA,
|,16,UMIDO,
|,17,,
|,18,,
|,19,SECCO,
|,20,UMIDO,VERDE
|,21,PLASTICA,
|,22,VETRO,
|,23,UMIDO,
|,24,,
|,25,,
|,26,SECCO,
|,27,UMIDO,
|,28,,
|,29,CARTA,
=,,,
~,MARZO 2024,,
|,1,UMIDO,
|,2,,
|,3,,
|,4,SECCO,
|,5,UMIDO,VERDE
|,6,PLASTICA,
|,7,VETRO,
|,8,UMIDO,
|,9,,
|,10,,
|,11,SECCO,
|,12,UMIDO,
|,13,,
|,14,CARTA,
|,15,UMIDO,
|,16,,
|,17,,
|,18,SECCO,
|,19,UMIDO,VERDE
|,20,PLASTICA,
|,21,VETRO,
|,22,UMIDO,
|,23,,
|,24,,
|,25,SECCO,
|,26,UMIDO,VERDE
|,27,,
|,28,CARTA,
|,29,UMIDO,
|,30,,
|,31,,
=,,,
~,APRILE 2024,,
|,1,,
|,2,UMIDO,VERDE
|,3,SECCO,
|,4,PLASTICA,
|,5,UMIDO,
|,6,VETRO,
|,7,,
|,8,SECCO,
|,9,UMIDO,
|,10,,
|,11,CARTA,
|,12,UMIDO,
|,13,,
|,14,,
|,15,SECCO,
|,16,UMIDO,VERDE
|,17,PLASTICA,
|,18,VETRO,
|,19,UMIDO,
|,20,,
|,21,,
|,22,SECCO,
|,23,UMIDO,VERDE
|,24,CARTA,
|,25,,
|,26,UMIDO,
|,27,,
|,28,,
|,29,SECCO,
|,30,UMIDO,VERDE
=,,,
~,MAGGIO 2024,,
|,1,,
|,2,PLASTICA,
|,3,UMIDO,
|,4,VETRO,
|,5,,
|,6,SECCO,
|,7,UMIDO,VERDE
|,8,,
|,9,CARTA,
|,10,UMIDO,
